Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Cloud Computing Project,University of Illinois at Urbana-Champaign,Advanced,2.8,https://www.coursera.org/learn/cloud-computing-project,"Note: You should complete all the other courses in this Specialization before beginning this course.  This six-week long Project course of the Cloud Computing Specialization will allow you to apply the learned theories and techniques for cloud computing from the previous courses in the Specialization, including Cloud Computing Concepts, Part 1, Cloud Computing Concepts, Part 2, Cloud Computing Applications, Part 1, Cloud Computing Concepts, Part 2, and Cloud Networking.",Apache Hadoop  Cloud Computing  distributed computing  Computer Networking  edge computing  data extraction  grid computing  stream processing  Python Programming  choice computer-science computer-security-and-networks
Israel State and Society,Hebrew University of Jerusalem,Intermediate,4.7,https://www.coursera.org/learn/israel,"Israel is a country that draws a lot of public attention around the globe. Nevertheless, both those who support Israel and those who are critical of its geopolitical standing and policies, usually have a very limited knowledge about the Israeli society and its political system. This course presents Israel from multiple perspectives - political, social, economic and cultural - in an attempt to expose the learners to a cutting edge academic research on the country.   Each of the 13 sessions is focused on one aspect of the Israeli society. Every session starts with a general introduction of the issue at hand, hosting one expert or more, who share their most recent studies and insights on that specific field. Every 15 minutes, or so, the students are asked to answer an informative quiz of comprised of a single question. Upon the completion of each class, an online chat will be opened. Students studying for credit are expected to participate in it, ask relevant questions and answer questions about the required readings for this class.   Students will graduate from this course with a better understanding of the Israeli society, better knowledge of the Israeli history, politics and economy, and better acquaintance with the varying groups of which the Israeli society is comprised.",multiculturalism  economy  demography  education  israel  political communication  man  elections  history  collective trauma social-sciences governance-and-society
Python Data Representations,Rice University,Advanced,4.7,https://www.coursera.org/learn/python-representation,"This course will continue the introduction to Python programming that started with Python Programming Essentials.  We'll learn about different data representations, including strings, lists, and tuples, that form the core of all Python programs.  We will also teach you how to access files, which will allow you to store and retrieve data within your programs. These concepts and skills will help you to manipulate data and write more complex Python programs.  By the end of the course, you will be able to write Python programs that can manipulate data stored in files.  This will extend your Python programming expertise, enabling you to write a wide range of scripts using Python  This course uses Python 3.  While most Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This course introduces basic desktop Python development environments, allowing you to run Python programs directly on your computer. This choice enables a smooth transition from online development environments.",immutable object  Python Programming  Smoothing  process  iteration  Computer Programming  Writing  arrays  substring  string (computer science) computer-science software-development
Solar Energy Basics,The State University of New York,Intermediate,4.8,https://www.coursera.org/learn/solar-energy-basics,"This course gives you an introduction to the fundamentals of solar power as it applies to solar panel system installations. You will learn to compare solar energy to other energy resources and explain how solar panels, or photovoltaics (PV for short), convert sunlight to electricity.  You will be able to identify the key components needed in a basic photovoltaic (solar panel) system, such as is found on a house or building, and explain the function of each component in the system. You will also learn how to calculate the electrical demand of a building, how to reduce the overall demand, and then how to design a solar panel system that can meet that annual demand at a given location. You will also compare the different types of pricing models that are being used and key regulatory considerations for grid tied systems (where a house or building is connected to the electrical grid and also generates electricity from solar panels). A capstone design project that entails both the simple audit of a building to determine demand, and a selection of components to design a solar panel system to meet that demand.",Photovoltaic Energy  energy  Energy Audits  Solar Systems  Systems Design  renewable energy  Sustainable Energy  Solar Energy  Energy Efficiency  Load Calculations physical-science-and-engineering environmental-science-and-sustainability
Getting Started with SAS Visual Analytics,SAS,Beginner,4.7,https://www.coursera.org/learn/preparing-data-sas-va,"In this course, you learn more about SAS Visual Analytics and the SAS Viya platform, how to access and investigate data in SAS Visual Analytics, and how to prepare data for analysis using SAS Data Studio.",software  Planning  SPSS  Data Analysis  Visual Analytics  business analytics  SAS (Software)  analytics  analysis  data item data-science data-analysis
Cyber-Physical Systems: Modeling and Simulation,"University of California, Santa Cruz",Advanced,4.3,https://www.coursera.org/learn/cyber-physical-systems-1,"Cyber-physical systems (CPS for short) combine digital and analog devices, interfaces, networks, computer systems, and the like, with the natural and man-made physical world. The inherent interconnected and heterogeneous combination of behaviors in these systems makes their analysis and design an exciting and challenging task.   CPS: Modeling and Simulation provides you with an introduction to modeling and simulation of cyber-physical systems. The main focus is on models of physical process, finite state machines, computation, converters between physical and cyber variables, and digital networks. The instructor of this course is Ricardo Sanfelice (https://hybrid.soe.ucsc.edu), Associate Professor in the Department of Computer Engineering at the University of California Santa Cruz.",timer  electronics  Scaling  robotics  Robotic Systems  simulation  architecture  physics  modeling and simulation  Framing physical-science-and-engineering mechanical-engineering
Six Sigma Tools for Analyze,University System of Georgia,Beginner,4.7,https://www.coursera.org/learn/six-sigma-analyze,"This course will cover the Measure phase and portions of the Analyze phase of the Six Sigma DMAIC (Define, Measure, Analyze, Improve, and Control) process. You will learn about lean tools for process analysis, failure mode and effects analysis (FMEA), measurement system analysis (MSA) and gauge repeatability and reproducibility (GR&R), and you will be introduced to basic statistics. This course will outline useful measure and analysis phase tools and will give you an overview of statistics as they are related to the Six Sigma process.   The statistics module will provide you with an overview of the concepts and you will be given multiple example problems to see how to apply these concepts. Every module will include readings, discussions, lecture videos, and quizzes to help make sure you understand the material and concepts that are studied.  Our applied curriculum is built around the latest handbook The Certified Six Sigma Handbook (2nd edition) and students will develop /learn the fundamentals of Six Sigma. Registration includes online access to course content, projects, and resources but does not include the companion text The Certified Six Sigma Handbook (2nd edition). The companion text is not required to complete the assignments. However, the text is a recognized handbook used by professionals in the field. Also, it is a highly recommended text for those wishing to move forward in Six Sigma and eventually gain certification from professional agencies such as American Society for Quality (ASQ).",analysis  Trigonometric Integral  General Statistics  Data Analysis  process  Normal Distribution  Binomial Distribution  Studentized Residual  six sigma  Causality business business-essentials
REAL BONES:  Adventures in Forensic Anthropology,Princeton University,Beginner,4.6,https://www.coursera.org/learn/real-bones-forensic-anthropology,"Forensic anthropology involves medico-legal cases where human remains have lost ""personhood"" (an individual cannot be identified due to decomposition or destruction of unique personal features). We will learn techniques that biological anthropologists apply to these cases to identify certain social attributes. We will also blend both biological and social anthropology to analyze human variation and well-being in urban settings.   This course will investigate and discuss the various techniques of analysis that biological anthropologists can apply to forensic cases. Topics include human osteology, the recovery of bodies, the analysis of life history, the reconstruction of causes of death, and various case studies where anthropologists have contributed significantly to solving forensic cases. Discussions will include the limitations of forensic anthropology and the application of DNA recovery to skeletal/mummified materials.",adult  forensic biology  pathology  death  forensic anthropology  forensic science  forensics  ageing  Anthropology  mandible social-sciences law
"The American South: Its Stories, Music, and Art",The University of North Carolina at Chapel Hill,Beginner,4.4,https://www.coursera.org/learn/the-south,"From small farms to urban neighborhoods, from the region itself to the more distant worlds of the southern diaspora, we discover the stories, music, and art of the American South.",Poetry Writing  history  art  Storytelling  music  auctions  jazz  gauss markov theorem  photography  history of rock arts-and-humanities music-and-art
Brand management in digital economy,Saint Petersburg State University,Not Calibrated,Not Calibrated,https://www.coursera.org/learn/brand-management-in-digital-economy,"???? ????????????? ???????, ????????? ? ??????????? ???????? ? ?????????? ??????? ? ???????? ???????? ?????????.",Branding Communication  Leadership and Management  brand strength analysis  economy  modeling  Brand Management  brand  Brand Identity  Strategy  brand awareness business business-strategy
Learn to Teach Java:  Writing Classes and Arrays,University of California San Diego,Advanced,4.6,https://www.coursera.org/learn/teach-java-classes-arrays,"Learn to program using Class design and 1-D Arrays in Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll cover the critical Java concepts of class design and 1-dimensional arrays, as covered in the APCS A Units 5 and 6.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions, assessment overviews, code tracing and problem solving skills for your students, including preparation for free response coding questions.",approximation error  arrays  c dynamic memory allocation  lesson plan  resource  code segment  Writing  Type I And Type Ii Errors  iteration  compiler social-sciences education
Plots (Graphics) for Data Science,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/plots-graphics-for-data-science,"In this two-hour long project-based course, you will learn Data Visualization techniques in Data Science. By the end of this project, you will have created and visualized scatter plots, line plots, bar charts, subplots, box plots, histograms, heat maps, and animations.  This class is for learners who want to use Python for Data Visualization and Plots, and for learners who are currently taking a basic machine learning course or have already finished a machine learning course and are searching for a practical data visualization project course. Also, this project provides learners with basic knowledge about data visualization techniques and improves their skills in creating various types of charts and plots which helps them in fulfilling their career goals by adding this project to their portfolios.",Chart  array data structure  project mine  project  Statistical Analysis  euler's totient function  Machine Learning  General Statistics  Data Science  Python Programming data-science data-analysis
Disaster Preparedness,University of Pittsburgh,Beginner,4.6,https://www.coursera.org/learn/disaster-preparedness,"Have you ever viewed a news report depicting the aftermath of a devastating natural disaster? The damage to human life and property are both staggering and heartbreaking. All parts of the world face the possibility of floods, hurricanes, tornados, fires, landslides, earthquakes, tsunamis, and other natural phenomena. Are you prepared if disaster would strike you? This course will help you prepare!  The course is appropriate for any learner who is proactive about developing the core competencies of disaster readiness and survival planning. It is especially useful if you are seeking techniques that can ensure your personal protection, as well as the safety of your family, property, and belongings, during a natural disaster. In addition, it offers essential preparation for a variety of emergency situations and inconveniences, even if you do not live in major tornado, flood, hurricane, tsunami, or earthquake zone. For instance, could you and your loved ones manage without access to potable water, electricity, fuel, and banking facilities? If you are unsure of your ability to respond in any of these possible scenarios, this course is for you!  Throughout the course, you will be introduced to the Disaster Cycle, specifically the Mitigation and Recovery phases, and will create an extensive personal preparedness plan for survival in the absence of common amenities, such as food and water, shelter, and communication. You will also acquire practical, easy-to-apply strategies for maintaining a healthy attitude during disaster which can allow you to remain calm, avoid panic, and draw upon inner and outer resources in dire circumstances. Although death may be an inevitable outcome of extreme circumstances, a balanced outlook can provide comfort for all parties involved. Finally, issues of how institutions and governments can aid in disaster are also discussed. If you are interested in this topic you may be interested in other online programs at the University of Pittsburgh School of Nursing. Learn more about those programs by visiting our website: http://www.online.pitt.edu/programs/school-of-nursing/",Disaster Response Experiene  emergency management  disasters  safety  Leadership and Management  disaster  triage  emergency  Planning  preparedness physical-science-and-engineering environmental-science-and-sustainability
Protecting Business Innovations via Trademark,The Hong Kong University of Science and Technology,Intermediate,4.8,https://www.coursera.org/learn/protect-business-innovations-trademark,"Protecting Business Innovations Via Trademark  Watch Course Overview:  https://youtu.be/mUja4iwbrTE  Intellectual property rights (IPR) has a great impact on innovation development and society. In Science, Engineering, and Business, we seek to create wealth through innovation in products, designs, manufacturing processes, and business systems or models. However, innovation leaders often FAIL to benefit from their discoveries and inventions when they are unable to adequately protect those innovations.   This course provides learners with an understanding of how trademark laws can be used to protect business innovation using a combination of lectures and case examples for discussion.  The course focus on protecting innovations with Trademark as one of several tools that can be used by companies to protect their brands and products.  In additional to learning about how trademark law works in theory, we will also discuss situations in which trademark might not be effective in protecting innovations, and will focus on the legal issues involved from a practical business perspective rather than from a purely legal viewpoint.  This course is one part of a four course series focusing on protection of business innovations using copyright, patent, trademark and strategy, and these four courses may be taken in any order that is most beneficial to students interested in learning about protecting innovation.",E-Commerce  trademarks  Intellectual Property Law  service innovation  brand  Brand Management  law  Innovation  intellectual property  grey market business business-strategy
ADHD: Everyday Strategies for Elementary Students,The State University of New York,Beginner,4.7,https://www.coursera.org/learn/adhd-treatment,"This course will provide an overview of ADHD diagnosis and treatment. Course participants can expect to learn about ADHD as a developmental disorder that begins early in childhood, and participants will also learn about evidence-based approaches for diagnosing ADHD. Following that, two evidence-based treatment approaches (the Daily Report Card and Parenting Strategies) will be introduced. (Note these course activities are informational and are not intended to replace working with a licensed/trained professional).   Learning Objectives: Students will be able to identify the behaviors characteristic of ADHD, the components of a diagnosis, and evidence-based treatment procedures that can be used in the school or home.  1. Identify the key areas of functional impairment, symptom presentation, and diagnostic decision-making for youth with ADHD.   2. Develop a behavioral intervention suitable for treating ADHD in the school setting.  3. Apply effective parenting and teaching strategies for supporting youth with ADHD in the home, classroom, and neighborhood.",behavior  Human Learning  Leadership and Management  Strategy  attention  Communication  attention deficit hyperactivity disorder  child  Planning  government budget balance social-sciences education
Introduction to Statistical Analysis:  Hypothesis Testing,SAS,Intermediate,Not Calibrated,https://www.coursera.org/learn/statistical-analysis-hypothesis-testing-sas,"This introductory course is for SAS software users who perform statistical analyses using SAS/STAT software. The focus is on t tests, ANOVA, and linear regression, and includes a brief introduction to logistic regression.",analysis  Statistical Significance  hypothesis  statistical hypothesis testing  hypothesis testing  Student's t-Test  p-value  General Statistics  Correlation And Dependence  relative change and difference data-science data-analysis
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,Intermediate,4.7,https://www.coursera.org/learn/teamwork-skills-effective-communication,"Effective teamwork and group communication are essential for your professional and personal success.  In this course you will learn to: make better decisions, be more creative and innovative, manage conflict and work with difficult group members, negotiate for preferred outcomes, improve group communication in virtual environments, develop a better overall understanding of human interaction, and work more effectively as a team.  Our goal is to help you understand these important dynamics of group communication and learn how to put them into practice to improve your overall teamwork.",communication in small groups  group work  Leadership and Management  Decision Making  Team Building  group development  Negotiation  group decision-making  Communication  group dynamics business leadership-and-management
Academic Listening and Note-Taking,"University of California, Irvine",Advanced,4.5,https://www.coursera.org/learn/note-taking,"This course will help non-native English speakers improve their listening and note-taking skills for the purpose of listening to academic lectures. You will learn techniques for improving your understanding and skills for taking more effective notes, and you will get lots of practice in using these. If you're planning to attend college classes in English, then this class is for you.  Upon completing this course, you will be able to: 1.       Understand and follow a lecture 2.       Take better lecture notes 3.       Discuss courses with classmates and professors 4.       Give an effective academic presentation  Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.",listening  presentation  Note Taking  lecture  speech  english language  paralanguage  public speaking  language  Writing language-learning learning-english
Predicting Salaries with Simple Linear Regression in R,Coursera Project Network,Beginner,4.3,https://www.coursera.org/learn/linear-regression-predicting-salaries,"In this 1-hour long project-based course, you will learn how to create a simple linear regression algorithm and use it to solve a basic regression problem. By the end of this project, you will have built, trained, tested, and visualized a Regression model that will be able to accurately predict the salary of a data scientist if provided with some information about years of experience.  In order to be successful in this project, you should just know the basics of R and linear regression.",line fitting  R Programming  project  Machine Learning  Regression  Test Set  linearity  Simple Linear Regression  linear regression  salary data-science data-analysis
How Google does Machine Learning,Google Cloud,Beginner,4.6,https://www.coursera.org/learn/google-machine-learning,"What is machine learning, and what kinds of problems can it solve? Google thinks about machine learning slightly differently -- of being about logic, rather than just data. We talk about why such a framing is useful for data scientists when thinking about building a pipeline of machine learning models.   Then, we discuss the five phases of converting a candidate use case to be driven by machine learning, and consider why it is important the phases not be skipped. We end with a recognition of the biases that machine learning can amplify and how to recognize this.  >>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",Google Cloud Platform  Human Learning  Cloud Storage  Cloud Platforms  Applied Machine Learning  bigquery  Cloud Computing  Machine Learning  application programming interfaces  Cloud API data-science machine-learning
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,Beginner,4.7,https://www.coursera.org/learn/epidemiology-tools,"In order to make a difference in the health and well-being of a population, we must understand the burden of all problems and conditions that affect the population, as well as how well our efforts to mitigate these problems are actually working. This course provides you with some essential skills and tools that will enhance your ability to describe and understand the health of your community. The tools that epidemiologists use are in fact useful for all public health practitioners, including data scientists, program officials, agency leaders, and policymakers. Whether you are deeply enmeshed in your career and looking to augment your skills, or are looking to change career paths into the field of public health, this course will give you some of the practical knowledge and skills that we hope you can apply in your professional endeavors.",public health  QGIS  health research  Mapping  Epidemiology  Geographic Information System  Map  Choropleth Map  Data Visualization  Estimation life-sciences public-health
Effectively delivering the news to your audience,Michigan State University,Advanced,4.8,https://www.coursera.org/learn/deliver-the-news,"Being a successful journalist is more than hunting down information. How journalists process the information, then put it together, are key steps for news reports. You will learn the process, planning, requirements of how journalists develop their news reports. There are many ways to report news reports, and you will learn different forms of how to perform reporting and writing to serve different audiences. This course also explains the different formats within journalism, beyond the written word and how they are best utilized.",Journalism  multimedia  news  compiler  network news transfer protocol  sound  quotation  audience  sources  digital journalism arts-and-humanities music-and-art
Writing your World: Finding yourself in the academic space,University of Cape Town,Advanced,4.7,https://www.coursera.org/learn/writing-your-world,"Throughout the world, writing serves to express, record and even create meaningful moments. In academic spaces, writing becomes the bridge between ourselves and the world of ideas. In this course, we provide practical insights into how to write an academic essay. We show you how to develop the academic skills needed to be a  competent academic writer. You will have an opportunity to engage with texts written by academics, and to see how some of the ideas in these texts are used by students in constructing an academic essay. We address some of the challenges these students face with respect to academic writing and offer you the opportunity to practice and to develop your own writing style. For this course, we centre our lessons around a specific topic - the concept of identity, since it forms such an important feature of how we locate ourselves in an ever-changing global world. In other words, this course teaches academic writing skills through getting you to write and reflect on your understanding of identity. So if you are thinking about studying at a tertiary institution, or if you just want to brush up on your academic essay writing skills, this course is for you!",english grammar  essay writing  transliteration  thought  grammar  Culture  academic writing  preference  english language  Writing language-learning learning-english
Introduction to Advanced tomography,Technical University of Denmark (DTU),Intermediate,4.8,https://www.coursera.org/learn/cinemaxe,"In this course you get the chance to get teaching and hands-on experience with the complete workflow of high-resolution tomography analysis. You will get introduced to data acquisition, 3D reconstruction, segmentation and meshing and, finally, 3D modelling of data to extract physical parameters describing mechanical and flow properties. The teaching and the exercises will take place in close interaction with top experts in the field. Exercises will require some basic programming skills, and will be carried out in a common python environment.",simulation  fluid animation  warchalking  materials  iterative reconstruction  Geometry  3d reconstruction  analysis  tomography  Scaling physical-science-and-engineering physics-and-astronomy
Engaging in Persuasive and Credible Communication,National University of Singapore,Advanced,4.5,https://www.coursera.org/learn/persuasive-communication,"In ""Engaging in Persuasive and Credible Communication"", you will learn the key skill of persuasion, in the context of professional communication in a globalised world.   Persuasive communication is essential to any professional workplace. From a simple email request for your colleague to help you, to developing a presentation for the board of directors, these are acts of communication that require a good degree of persuasion. Even the process of entering the workforce requires effective persuasive communication, for in the act of writing your resume, cover-letter, or in the interview process, you are essentially persuading the potential employer to hire you.  By the end of this course, you will be able to structure and express your ideas in a convincing and persuasive manner in writing, apply basic principles of persuasive writing to convince different sets of audiences at the globalised workplace, and learn to engage in persuasive and credible communication across different cultures in a complex globalised environment.",social work  persuasive writing  persuasion  Writing  audience  credibility  Culture  reason  r&d management  Communication personal-development personal-development
Architecting with Google Kubernetes Engine: Workloads,Google Cloud,Intermediate,4.7,https://www.coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke,"In this course, ""Architecting with Google Kubernetes Engine: Workloads,"" you learn about performing Kubernetes operations; creating and managing deployments; the tools of GKE networking; and how to give your Kubernetes workloads persistent storage.  This course is part of a specialization focused on building efficient computing infrastructures using Kubernetes and GKE. The specialization introduces participants to deploying and managing containerized applications on GKE and the other services provided by Google Cloud Platform. Through a combination of presentations, demos, and hands-on labs, participants explore and deploy solution elements, including infrastructure components such as pods, containers, deployments, and services; as well as networks and application services. The specialization also covers deploying practical solutions including security and access management, resource management, and resource monitoring.    >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",load balancing  load balancing (computing)  Kubernetes  software  command-line interface  hypertext transfer protocol  Cloud Computing  persistence (computer science)  Google Cloud Platform  Cloud Platforms computer-science software-development
"Photography Techniques: Light, Content, and Sharing",Michigan State University,Intermediate,4.8,https://www.coursera.org/learn/photography-techniques,"Welcome to Course FOUR!   In Modules 1-4 you will cover the final elements of the Specialization necessary to round out this introduction to the fundamentals of Photography, and prepare you for creating your own exciting project in the Capstone!  You have come a long way since the beginning of this journey from Smartphone Basics to DSLR and Beyond.  Just think of all the information you have absorbed and put to use in your assignments and quizzes, and the confidence you have gained that you CAN control the camera to make pictures you are proud to share.    Here in Course Four you will start by gaining knowledge related to content in photography, from fact to fiction, documentary to purely expressive.  Next you will learn principles, tips, and techniques for using the essential element of Light in Ambient/Natural settings.    The flash/strobe unit, whether it is built-in to your camera or an add-on ""hotshoe"" model, will finally be something you, not the camera, controls!  You will prove to yourself that those former mysteries of Controlled Continuous and Strobe lighting will no longer be mysterious, as you apply your knowledge to creation of assignment photographs in various situations.  Sharing those pictures in Peer Review will give you the opportunity to learn from your fellow photographers' solutions to lighting challenges, and to gain insight into your own work and creative approaches too.    There is an important word to share about Peer Review assignments for this course.  As photographers who have accomplished the quiz and photography requirements of Courses One through Three, you have the knowledge and capability to create quality photographs at a much higher rate of success, and in a much shorter time, than when you began.  You have also proven that you are a dedicated Learner, someone who has a passion for photography and is willing to put forth the extra effort necessary to accomplish your goals.  This Course is the last before the Capstone Course, in which you will be tasked with creating a project over a 2-month period of dedicated photography.  The Peer Review photography assignments have been structured with both your Advanced capabilities and dedication in mind...in other words, they will require both!  Be prepared to allocate more time than you have in previous Courses for the assignments, because they will take more time and because you will really enjoy them!  Course Four ends with an overview of methods for finalizing your pictures in print form, including simple but effective matting techniques, and in web page designs as well.  The pleasures and perils of sharing in social media sites are also yours to discover.  Protecting your copyrights by understanding that concept and the ways that you can assert them, being careful about blogs and other outlets, and recognizing you are part of a community that respects the individual's creative effort, well that is  important knowledge to have in preparation for the Capstone too!  Let's get started with Module One!",film  adobe photoshop  digital image  digital cameras  display devices  digital single-lens reflex camera  photography  digital photography  Social Media  adobe creative suite arts-and-humanities music-and-art
What is Palliative Care?,University of Colorado System,Beginner,4.8,https://www.coursera.org/learn/what-is-palliative-care,"Palliative care provides invaluable help for patients living with serious or life-limiting illness and their family caregivers.  Palliative care should be part of healthcare services to improve quality of life, the ability to tolerate and benefit from treatment and improve survival. In this course, you will learn about the nature of suffering and how this concept can help you understand the experience of people living with serious illness. Next, you will learn skills to more effectively communicate with patients, families and other care providers to both understand their experiences and provide an extra layer of support. In the next module you will explore your own core values and beliefs and how they impact your work with others. Finally, you will learn how to do a whole person assessment to understand the needs of people with serious illness so you can develop a plan to support them.   You will be able to immediately use these insights, skills and tools in your work with people living with serious illness. In later courses, you will learn to ease pain and other symptoms, such as loss of appetite, shortness of breath and fatigue. In the final course, you will explore ways to ease psycho-social-spiritual distress. These courses will prepare you to bring basic palliative care to all in need.",active listening  family caregivers  family  empathy  grief counseling  advance care planning  suffering  self-awareness  experience  patient life-sciences patient-care
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",IBM,Advanced,Not Calibrated,https://www.coursera.org/learn/ibm-containers-docker-kubernetes-openshift,"After completing this course, you will be able to build applications in a cloud native way using containerization tools and technologies, and deploy your applications in any public, private or hybrid cloud at incredible scale. This course introduces you to containers and explains how containers differ from virtual machines.  It also covers the importance of containers in cloud computing, as well as the emerging ecosystem of related technologies such as Docker, Kubernetes, Red Hat OpenShift, and Istio.  Throughout the course you will apply what you learn with hands-on labs. From getting started with Docker, to orchestration and scaling with Kubernetes, and simplifying deployments with OpenShift. The labs are performed using your web browser on IBM Cloud and Skills Network Labs environments, that are made available to you at no charge. in the project at the end of the course you will build a container image and deploy and scale it on Cloud using OpenShift.   Containerization is likely the most significant invention in IT since the introduction of virtualization. Open source projects like Kubernetes and products like Red Hat OpenShift have become standards for people looking to deploy and manage containers at scale. Everyone from small startups to large multinational corporations is transitioning to these technologies, and they are looking for people who are skilled in these areas.  This course is of interest to anyone who wants to be a cloud practitioner - cloud developers, cloud architects, cloud system engineers, devops engineers, cloud networking specialists and many other roles. The material also serves the needs of those who perform the tasks of advising, consulting, building, moving and managing cloud solutions.  There are no hard requirements needed to be able to take this course other than basic computer literacy, and a foundation level understanding of Cloud Computing.",modulo operation  microservices  source code  ternary conditional operator  data clustering algorithms  null coalescing operator  information sensitivity  openshift  streams  control plane information-technology cloud-computing
Supply Chain Operations,Rutgers the State University of New Jersey,Beginner,4.8,https://www.coursera.org/learn/operations,"Have you ever wondered how products and services are created exactly the same thousands of times over? And how companies are able to smooth out operations to manufacture efficiently, effectively, and without any waste? How is such precision possible? The answer lies at the heart of operations. In the Supply Chain Operations course, we introduce and apply essential process improvement tools to achieve perfection. After completing this course, you will be able to apply the Six Sigma methodology for process improvement. You will demonstrate that you understand the basic tenets of the Lean philosophy that enables manufacturers to eliminate waste and make processes more efficient.  Finally, you will be able to apply the tools that you just gained to improve a process of your own. This is an introductory course designed to provide you with a start on your learning journey in operations. You do not need to have any background in operations, but it would be beneficial if you had a basic understanding of business concepts, a working knowledge of spreadsheets, and ideally have mastered the Supply Chain Logistics course. Join me and we will learn together about operations!",supply chain  Trigonometric Integral  Operations Management  inventory  Leadership and Management  six sigma  stock  lean six sigma  thought  chaining business business-strategy
Managing Supply Chain Disruption During COVID-19,University of Illinois at Urbana-Champaign,Intermediate,4.7,https://www.coursera.org/learn/supply-chain-disruption,"In this course, you will learn about why and how supply chains become susceptible to a disruption. We will examine this by discussing supply side and demand side issues, primary supply chain flows, complexity, risk management and a combination of solid theoretical supply chain perspectives and current real-world stories. You will learn about the structural, relational and operational factors that come into play during a supply chain disruption and the mechanisms for the effective management of these factors. Your understanding will be enhanced through examples from manufacturing and health contexts, and the PPE supply chain disruption during COVID-19.",fixed asset  supply chain  Resilience  Supply Chain Costs  Supply Chain Strategy  chaining  supply chain network  risk pool  evaluation  supply chain management business leadership-and-management
Regulated Competition in Healthcare Systems: Theory & Practice,Erasmus University Rotterdam,Beginner,4.7,https://www.coursera.org/learn/regulated-competition-healthcare-systems,"In this MOOC you will learn about the theory and practice of 'regulated competition' (also known as 'managed competition') in healthcare systems. Many countries have implemented or consider implementation of regulated competition in healthcare. Examples include Australia, Belgium, Chile, Colombia, Germany, Ireland, Israel, The Netherlands, Switzerland and the United States. After completing this MOOC, you will be able to explain how regulated competition (in theory) promotes affordability, accessibility and efficiency of healthcare. Moreover, you will be able to explain why (in practice) successful implementation of regulated competition is very complex and often requires difficult trade-offs between policy objectives. We think this MOOC is highly valuable to any student, researcher or professional interested in healthcare system reform and design. Specific topics in this MOOC include a typology of healthcare systems, the economics of healthcare markets, theory and preconditions of regulated competition, risk adjustment and risk selection in health insurance, competition policy and provider payment.",principal agent problem  payment systems  incentive  market (economics)  health insurance  health system  health care  competition law  health care reform  consumer choice life-sciences healthcare-management
"Random Models, Nested and Split-plot Designs",Arizona State University,Intermediate,4.5,https://www.coursera.org/learn/random-models-nested-split-plot-designs,"Many experiments involve factors whose levels are chosen at random. A well-know situation is the study of measurement systems to determine their capability.  This course presents the design and analysis of these types of experiments, including modern methods for estimating the components of variability in these systems. The course also covers experiments with nested factors, and experiments with hard-to-change factors that require split-plot designs. We also provide an overview of designs for experiments with response distributions from nonnormal response distributions and experiments with covariates.",Experimental Design  randomness  linear model  General Statistics  variance  Experiment  Random Effects Model  restricted randomization  factorial experiment  Estimation data-science probability-and-statistics
